pokemon,move
dragonite,Dragon Pulse
mewtwo,Psystrike
mewtwo,Shadow Ball
mewtwo,Hyper Beam
meganium,Frenzy Plant
typhlosion,Blast Burn
feraligatr,Water Gun
feraligatr,Hydro Cannon
cleffa,Psychic
cleffa,Body Slam
igglybuff,Body Slam
togepi,Zen Headbutt
togetic,Steel Wing
togetic,Zen Headbutt
ampharos,Dragon Pulse
politoed,Earthquake
politoed,Ice Beam
jumpluff,Acrobatics
quagsire,Aqua Tail
espeon,Last Resort
espeon,Shadow Ball
umbreon,Last Resort
umbreon,Psychic
slowking,Surf
kingdra,Water Gun
smoochum,Frost Breath
elekid,Thunderbolt
magby,Flamethrower
blissey,Wild Charge
tyranitar,Smack Down
lugia,Aeroblast
ho oh,Earthquake
ho oh,Sacred Fire
celebi,Magical Leaf
sceptile,Frenzy Plant
blaziken,Blast Burn
blaziken,Stone Edge
swampert,Hydro Cannon
shiftry,Bullet Seed
gardevoir,Synchronoise
breloom,Grass Knot
slaking,Body Slam
shedinja,Struggle Bug
flygon,Earth Power
altaria,Moonblast
absol,Brutal Swing
walrein,Powder Snow
walrein,Icicle Spear
salamence,Outrage
metagross,Meteor Mash
regirock,Earthquake
regice,Thunder
registeel,Zap Cannon
latias,Mist Ball
latios,Luster Purge
kyogre,Origin Pulse
groudon,Fire Punch
groudon,Precipice Blades
rayquaza,Hurricane
rayquaza,Breaking Swipe
torterra,Frenzy Plant
infernape,Blast Burn
empoleon,Hydro Cannon
staraptor,Gust
bidoof,Shadow Ball
bidoof,Thunderbolt
bidoof,Ice Beam
bidoof,Superpower
luxray,Psychic Fangs
roserade,Bullet Seed
roserade,Weather Ball (Fire)
garchomp,Earth Power
lucario,Force Palm
lickilicky,Body Slam
rhyperior,Rock Wrecker
electivire,Flamethrower
magmortar,Thunderbolt
togekiss,Aura Sphere
leafeon,Bullet Seed
leafeon,Last Resort
glaceon,Last Resort
glaceon,Water Pulse
mamoswine,Ancient Power
porygon z,Tri Attack
gallade,Synchronoise
dusknoir,Shadow Ball
heatran,Magma Storm
giratina,Shadow Force
giratina altered,Shadow Force
giratina origin,Shadow Force
cresselia,Grass Knot
darkrai,Sludge Bomb
serperior,Frenzy Plant
emboar,Blast Burn
samurott,Hydro Cannon
gigalith,Meteor Beam
conkeldurr,Brutal Swing
leavanny,Shadow Claw
vanilluxe,Avalanche
escavalier,Razor Shell
eelektross,Volt Switch
chandelure,Poltergeist
haxorus,Breaking Swipe
accelgor,Energy Ball
mienfoo,High Jump Kick
hydreigon,Brutal Swing
cobalion,Sacred Sword
terrakion,Sacred Sword
virizion,Sacred Sword
tornadus therian,Bleakwind Storm
thundurus therian,Wildbolt Storm
reshiram,Fusion Flare
zekrom,Fusion Bolt
landorus therian,Sandsear Storm
kyurem,Glaciate
chesnaught,Frenzy Plant
delphox,Blast Burn
greninja,Hydro Cannon
talonflame,Incinerate
sylveon,Last Resort
sylveon,Psyshock
goodra,Thunder Punch
noivern,Boomburst
xerneas,Geomancy
yveltal,Oblivion Wing
decidueye,Frenzy Plant
incineroar,Blast Burn
primarina,Hydro Cannon
charjabug,Volt Switch
vikavolt,Volt Switch
bewear,Drain Punch
tsareena,High Jump Kick
tapu koko,Nature's Madness
tapu lele,Nature's Madness
tapu bulu,Nature's Madness
tapu fini,Nature's Madness
melmetal,Double Iron Bash
corviknight,Iron Head
obstagoon,Obstruct
ursaluna,High Horsepower
meowscarada,Frenzy Plant
skeledirge,Blast Burn
pawmot,Brick Break
annihilape,Rage Fist
clodsire,Megahorn
