pokemon,move_to_remove,reason
walrein,Icicle Spear,Elite TM exclusive - not obtainable by a real raid boss
salamence,Outrage,Elite TM exclusive - not obtainable by a real raid boss
metagross,Meteor Mash,Elite TM exclusive - not obtainable by a real raid boss
regirock,Earthquake,Elite TM exclusive - not obtainable by a real raid boss
regice,Thunder,Elite TM exclusive - not obtainable by a real raid boss
registeel,Zap Cannon,Elite TM exclusive - not obtainable by a real raid boss
latias,Mist Ball,Elite TM exclusive - not obtainable by a real raid boss
latios,Luster Purge,Elite TM exclusive - not obtainable by a real raid boss
kyogre,Origin Pulse,Elite TM exclusive - not obtainable by a real raid boss
groudon,Fire Punch,Elite TM exclusive - not obtainable by a real raid boss
groudon,Precipice Blades,Elite TM exclusive - not obtainable by a real raid boss
rayquaza,Hurricane,Elite TM exclusive - not obtainable by a real raid boss
rayquaza,Breaking Swipe,Elite TM exclusive - not obtainable by a real raid boss
torterra,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
infernape,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
empoleon,Hydro Cannon,Elite TM exclusive - not obtainable by a real raid boss
staraptor,Gust,Elite TM exclusive - not obtainable by a real raid boss
bidoof,Shadow Ball,Elite TM exclusive - not obtainable by a real raid boss
bidoof,Thunderbolt,Elite TM exclusive - not obtainable by a real raid boss
bidoof,Ice Beam,Elite TM exclusive - not obtainable by a real raid boss
bidoof,Superpower,Elite TM exclusive - not obtainable by a real raid boss
luxray,Psychic Fangs,Elite TM exclusive - not obtainable by a real raid boss
roserade,Bullet Seed,Elite TM exclusive - not obtainable by a real raid boss
roserade,Weather Ball (Fire),Elite TM exclusive - not obtainable by a real raid boss
garchomp,Earth Power,Elite TM exclusive - not obtainable by a real raid boss
lucario,Force Palm,Elite TM exclusive - not obtainable by a real raid boss
lickilicky,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
rhyperior,Rock Wrecker,Elite TM exclusive - not obtainable by a real raid boss
electivire,Flamethrower,Elite TM exclusive - not obtainable by a real raid boss
magmortar,Thunderbolt,Elite TM exclusive - not obtainable by a real raid boss
togekiss,Aura Sphere,Elite TM exclusive - not obtainable by a real raid boss
leafeon,Bullet Seed,Elite TM exclusive - not obtainable by a real raid boss
leafeon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
glaceon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
glaceon,Water Pulse,Elite TM exclusive - not obtainable by a real raid boss
mamoswine,Ancient Power,Elite TM exclusive - not obtainable by a real raid boss
porygon z,Tri Attack,Elite TM exclusive - not obtainable by a real raid boss
gallade,Synchronoise,Elite TM exclusive - not obtainable by a real raid boss
dusknoir,Shadow Ball,Elite TM exclusive - not obtainable by a real raid boss
heatran,Magma Storm,Elite TM exclusive - not obtainable by a real raid boss
giratina,Shadow Force,Elite TM exclusive - not obtainable by a real raid boss
giratina altered,Shadow Force,Elite TM exclusive - not obtainable by a real raid boss
giratina origin,Shadow Force,Elite TM exclusive - not obtainable by a real raid boss
cresselia,Grass Knot,Elite TM exclusive - not obtainable by a real raid boss
darkrai,Sludge Bomb,Elite TM exclusive - not obtainable by a real raid boss
serperior,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
emboar,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
samurott,Hydro Cannon,Elite TM exclusive - not obtainable by a real raid boss
gigalith,Meteor Beam,Elite TM exclusive - not obtainable by a real raid boss
conkeldurr,Brutal Swing,Elite TM exclusive - not obtainable by a real raid boss
leavanny,Shadow Claw,Elite TM exclusive - not obtainable by a real raid boss
vanilluxe,Avalanche,Elite TM exclusive - not obtainable by a real raid boss
escavalier,Razor Shell,Elite TM exclusive - not obtainable by a real raid boss
eelektross,Volt Switch,Elite TM exclusive - not obtainable by a real raid boss
chandelure,Poltergeist,Elite TM exclusive - not obtainable by a real raid boss
haxorus,Breaking Swipe,Elite TM exclusive - not obtainable by a real raid boss
accelgor,Energy Ball,Elite TM exclusive - not obtainable by a real raid boss
mienfoo,High Jump Kick,Elite TM exclusive - not obtainable by a real raid boss
hydreigon,Brutal Swing,Elite TM exclusive - not obtainable by a real raid boss
cobalion,Sacred Sword,Elite TM exclusive - not obtainable by a real raid boss
terrakion,Sacred Sword,Elite TM exclusive - not obtainable by a real raid boss
virizion,Sacred Sword,Elite TM exclusive - not obtainable by a real raid boss
tornadus therian,Bleakwind Storm,Elite TM exclusive - not obtainable by a real raid boss
thundurus therian,Wildbolt Storm,Elite TM exclusive - not obtainable by a real raid boss
reshiram,Fusion Flare,Elite TM exclusive - not obtainable by a real raid boss
zekrom,Fusion Bolt,Elite TM exclusive - not obtainable by a real raid boss
landorus therian,Sandsear Storm,Elite TM exclusive - not obtainable by a real raid boss
kyurem,Glaciate,Elite TM exclusive - not obtainable by a real raid boss
chesnaught,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
delphox,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
greninja,Hydro Cannon,Elite TM exclusive - not obtainable by a real raid boss
talonflame,Incinerate,Elite TM exclusive - not obtainable by a real raid boss
sylveon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
sylveon,Psyshock,Elite TM exclusive - not obtainable by a real raid boss
goodra,Thunder Punch,Elite TM exclusive - not obtainable by a real raid boss
noivern,Boomburst,Elite TM exclusive - not obtainable by a real raid boss
xerneas,Geomancy,Elite TM exclusive - not obtainable by a real raid boss
yveltal,Oblivion Wing,Elite TM exclusive - not obtainable by a real raid boss
decidueye,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
incineroar,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
primarina,Hydro Cannon,Elite TM exclusive - not obtainable by a real raid boss
charjabug,Volt Switch,Elite TM exclusive - not obtainable by a real raid boss
vikavolt,Volt Switch,Elite TM exclusive - not obtainable by a real raid boss
bewear,Drain Punch,Elite TM exclusive - not obtainable by a real raid boss
tsareena,High Jump Kick,Elite TM exclusive - not obtainable by a real raid boss
tapu koko,Nature's Madness,Elite TM exclusive - not obtainable by a real raid boss
tapu lele,Nature's Madness,Elite TM exclusive - not obtainable by a real raid boss
tapu bulu,Nature's Madness,Elite TM exclusive - not obtainable by a real raid boss
tapu fini,Nature's Madness,Elite TM exclusive - not obtainable by a real raid boss
melmetal,Double Iron Bash,Elite TM exclusive - not obtainable by a real raid boss
corviknight,Iron Head,Elite TM exclusive - not obtainable by a real raid boss
obstagoon,Obstruct,Elite TM exclusive - not obtainable by a real raid boss
ursaluna,High Horsepower,Elite TM exclusive - not obtainable by a real raid boss
meowscarada,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
skeledirge,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
pawmot,Brick Break,Elite TM exclusive - not obtainable by a real raid boss
annihilape,Rage Fist,Elite TM exclusive - not obtainable by a real raid boss
clodsire,Megahorn,Elite TM exclusive - not obtainable by a real raid boss
