name,damage,energy,turns,category,type
Double Iron Bash,70.0,-33.0,4.0,Charge,Steel
Mirror Shot,50.0,-33.0,5.0,Charge,Steel
Doom Desire,65.0,-33.0,3.0,Charge,Steel
Magnet Bomb,75.0,-33.0,6.0,Charge,Steel
Flash Cannon,100.0,-100.0,5.0,Charge,Steel
Gyro Ball,85.0,-50.0,7.0,Charge,Steel
Gigaton Hammer,300.0,-100.0,6.0,Charge,Steel
Bubble,10.0,12.0,2.0,Fast,Water
Splash,0.0,17.0,3.0,Fast,Water
Hidden Power Water,15.0,15.0,3.0,Fast,Water
Water Gun,5.0,5.0,1.0,Fast,Water
Water Shuriken,9.0,14.0,2.0,Fast,Water
Waterfall,13.0,7.0,2.0,Fast,Water
Aqua Jet,45.0,-33.0,5.0,Charge,Water
Aqua Step,55.0,-33.0,7.0,Charge,Water
Aqua Tail,50.0,-33.0,4.0,Charge,Water
Brine,65.0,-50.0,5.0,Charge,Water
Bubble Beam,45.0,-33.0,4.0,Charge,Water
Crabhammer,85.0,-50.0,4.0,Charge,Water
Hydro Cannon,90.0,-50.0,4.0,Charge,Water
Hydro Pump,135.0,-100.0,7.0,Charge,Water
Liquidation,70.0,-33.0,6.0,Charge,Water
Liquidation+,180.0,-100.0,6.0,Charge,Water
Liquidation++,198.0,-100.0,6.0,Charge,Water
Liquidation+++,216.0,-100.0,6.0,Charge,Water
Liquidation++++,234.0,-100.0,6.0,Charge,Water
Muddy Water,45.0,-33.0,4.0,Charge,Water
Octazooka,55.0,-50.0,5.0,Charge,Water
Origin Pulse,120.0,-100.0,3.0,Charge,Water
Razor Shell,55.0,-33.0,3.0,Charge,Water
Scald,75.0,-50.0,7.0,Charge,Water
Sparkling Aria,85.0,-33.0,6.0,Charge,Water
Snipe Shot,100.0,-50.0,7.0,Charge,Water
Surf,60.0,-33.0,3.0,Charge,Water
Surf+,130.0,-100.0,3.0,Charge,Water
Surf++,143.0,-100.0,3.0,Charge,Water
Surf+++,156.0,-100.0,3.0,Charge,Water
Surf++++,169.0,-100.0,3.0,Charge,Water
Techno Blast (Water),120.0,-100.0,4.0,Charge,Water
Water Pulse,65.0,-50.0,6.0,Charge,Water
Weather Ball (Water),55.0,-33.0,3.0,Charge,Water
Hex,8.0,13.0,2.0,Fast,Ghost
Lick,5.0,6.0,1.0,Fast,Ghost
Hidden Power Ghost,15.0,15.0,3.0,Fast,Ghost
Shadow Claw,6.0,4.0,1.0,Fast,Ghost
Astonish,7.0,13.0,2.0,Fast,Ghost
Shadow Ball,100.0,-50.0,6.0,Charge,Ghost
Moongeist Beam,230.0,-100.0,6.0,Charge,Ghost
Shadow Force,140.0,-100.0,4.0,Charge,Ghost
Poltergeist,140.0,-100.0,7.0,Charge,Ghost
Spirit Shackle,70.0,-33.0,5.0,Charge,Ghost
Rage Fist,100.0,-50.0,6.0,Charge,Ghost
Shadow Sneak,50.0,-33.0,6.0,Charge,Ghost
Shadow Punch,35.0,-33.0,3.0,Charge,Ghost
Ominous Wind,55.0,-33.0,5.0,Charge,Ghost
Night Shade,60.0,-50.0,5.0,Charge,Ghost
Shadow Bone,85.0,-50.0,6.0,Charge,Ghost
Astral Barrage (Test),150.0,-100.0,5.0,Charge,Ghost
Psycho Cut,4.0,7.0,1.0,Fast,Psychic
Confusion,19.0,14.0,3.0,Fast,Psychic
Hidden Power Psychic,15.0,15.0,3.0,Fast,Psychic
Psywave,4.0,7.0,1.0,Fast,Psychic
Zen Headbutt,11.0,9.0,2.0,Fast,Psychic
Extrasensory,11.0,11.0,2.0,Fast,Psychic
Psystrike,95.0,-50.0,5.0,Charge,Psychic
Psystrike Rework,115.0,-50.0,5.0,Charge,Psychic
Psychic,95.0,-50.0,6.0,Charge,Psychic
Future Sight,115.0,-100.0,5.0,Charge,Psychic
Future Sight+,140.0,-100.0,5.0,Charge,Psychic
Future Sight++,154.0,-100.0,5.0,Charge,Psychic
Future Sight+++,168.0,-100.0,5.0,Charge,Psychic
Future Sight++++,182.0,-100.0,5.0,Charge,Psychic
Psyshock,60.0,-33.0,5.0,Charge,Psychic
Heart Stamp,40.0,-33.0,4.0,Charge,Psychic
Psybeam,65.0,-50.0,6.0,Charge,Psychic
Psybeam+,170.0,-100.0,6.0,Charge,Psychic
Psybeam++,187.0,-100.0,6.0,Charge,Psychic
Psybeam+++,204.0,-100.0,6.0,Charge,Psychic
Psybeam++++,221.0,-100.0,6.0,Charge,Psychic
Mirror Coat,60.0,-50.0,5.0,Charge,Psychic
Psycho Boost,130.0,-33.0,8.0,Charge,Psychic
Synchronoise,80.0,-50.0,5.0,Charge,Psychic
Luster Purge,100.0,-100.0,3.0,Charge,Psychic
Mist Ball,105.0,-100.0,4.0,Charge,Psychic
Psychic Fangs,25.0,-33.0,2.0,Charge,Psychic
Bullet Seed,7.0,13.0,2.0,Fast,Grass
Leafage,6.0,4.0,1.0,Fast,Grass
Hidden Power Grass,15.0,15.0,3.0,Fast,Grass
Magical Leaf,17.0,17.0,3.0,Fast,Grass
Razor Leaf,13.0,7.0,2.0,Fast,Grass
Vine Whip,6.0,5.0,1.0,Fast,Grass
Petal Blizzard,110.0,-100.0,5.0,Charge,Grass
Mega Drain,25.0,-50.0,5.0,Charge,Grass
Seed Bomb,55.0,-33.0,4.0,Charge,Grass
Seed Bomb+,150.0,-100.0,4.0,Charge,Grass
Seed Bomb++,165.0,-100.0,4.0,Charge,Grass
Seed Bomb+++,180.0,-100.0,4.0,Charge,Grass
Seed Bomb++++,195.0,-100.0,4.0,Charge,Grass
Giga Drain,50.0,-100.0,8.0,Charge,Grass
Solar Beam,180.0,-100.0,10.0,Charge,Grass
Leaf Blade,70.0,-33.0,5.0,Charge,Grass
Power Whip,90.0,-50.0,5.0,Charge,Grass
Grass Knot,90.0,-50.0,5.0,Charge,Grass
Energy Ball,90.0,-50.0,8.0,Charge,Grass
Frenzy Plant,100.0,-50.0,5.0,Charge,Grass
Leaf Tornado,45.0,-33.0,6.0,Charge,Grass
Leaf Storm,130.0,-100.0,5.0,Charge,Grass
Seed Flare,115.0,-100.0,5.0,Charge,Grass
Trailblaze,65.0,-50.0,4.0,Charge,Grass
Flower Trick,75.0,-33.0,5.0,Charge,Grass
Ivy Cludgel Test,210.0,-100.0,4.0,Charge,Grass
Mud Shot,4.0,6.0,1.0,Fast,Ground
Mud Slap,19.0,13.0,3.0,Fast,Ground
Hidden Power Ground,15.0,15.0,3.0,Fast,Ground
Sand Attack,4.0,7.0,1.0,Fast,Ground
Earthquake,140.0,-100.0,7.0,Charge,Ground
Precipice Blades,120.0,-100.0,3.0,Charge,Ground
High Horsepower,105.0,-100.0,3.0,Charge,Ground
Sandsear Storm,150.0,-100.0,5.0,Charge,Ground
Dig,100.0,-50.0,9.0,Charge,Ground
Drill Run,85.0,-50.0,6.0,Charge,Ground
Bulldoze,80.0,-50.0,7.0,Charge,Ground
Earth Power,100.0,-50.0,7.0,Charge,Ground
Scorching Sands,90.0,-50.0,6.0,Charge,Ground
Bone Club,40.0,-33.0,3.0,Charge,Ground
Mud Bomb,60.0,-33.0,5.0,Charge,Ground
Sand Tomb,60.0,-33.0,8.0,Charge,Ground
Sand Tomb+,185,-100.0,8.0,Charge,Ground
Smack Down,13.0,7.0,2.0,Fast,Rock
Rock Throw,13.0,8.0,2.0,Fast,Rock
Rollout,15.0,19.0,3.0,Fast,Rock
Hidden Power Rock,15.0,15.0,3.0,Fast,Rock
Stone Edge,105.0,-100.0,5.0,Charge,Rock
Meteor Beam,140.0,-100.0,4.0,Charge,Rock
Rock Tomb,65.0,-50.0,6.0,Charge,Rock
Rock Slide,75.0,-50.0,5.0,Charge,Rock
Power Gem,80.0,-50.0,6.0,Charge,Rock
Rock Wrecker,110.0,-50.0,7.0,Charge,Rock
Ancient Power,70.0,-33.0,7.0,Charge,Rock
Rock Blast,50.0,-33.0,4.0,Charge,Rock
Weather Ball (Ro),55.0,-33.0,3.0,Charge,Rock
Ivy Cludgel (Ro) Test,210.0,-100.0,4.0,Charge,Rock
Charm,20.0,11.0,3.0,Fast,Fairy
Fairy Wind,9.0,13.0,2.0,Fast,Fairy
Geomancy,20.0,14.0,3.0,Fast,Fairy
Disarming Voice,70.0,-33.0,8.0,Charge,Fairy
Draining Kiss,60.0,-50.0,5.0,Charge,Fairy
Dazzling Gleam,100.0,-50.0,7.0,Charge,Fairy
Moonblast,130.0,-100.0,8.0,Charge,Fairy
Play Rough,90.0,-50.0,6.0,Charge,Fairy
Nature's Madness,90.0,-50.0,4.0,Charge,Fairy
Low Kick,5.0,5.0,1.0,Fast,Fighting
Karate Chop,10.0,13.0,2.0,Fast,Fighting
Hidden Power Fighting,15.0,15.0,3.0,Fast,Fighting
Rock Smash,17.0,12.0,3.0,Fast,Fighting
Counter,13.0,9.0,2.0,Fast,Fighting
Double Kick,10.0,13.0,2.0,Fast,Fighting
Force Palm,10.0,16.0,2.0,Fast,Fighting
Close Combat,105.0,-100.0,5.0,Charge,Fighting
Focus Blast,140.0,-100.0,7.0,Charge,Fighting
High Jump Kick,90.0,-100.0,3.0,Charge,Fighting
Cross Chop,50.0,-50.0,3.0,Charge,Fighting
Submission,85.0,-50.0,4.0,Charge,Fighting
Dynamic Punch,85.0,-50.0,5.0,Charge,Fighting
Dynamic Punch+,130.0,-100.0,5.0,Charge,Fighting
Dynamic Punch++,143.0,-100.0,5.0,Charge,Fighting
Dynamic Punch+++,156.0,-100.0,5.0,Charge,Fighting
Dynamic Punch++++,169.0,-100.0,5.0,Charge,Fighting
Superpower,85.0,-50.0,6.0,Charge,Fighting
Flying Press,115.0,-50.0,5.0,Charge,Fighting
Aura Sphere,100.0,-50.0,4.0,Charge,Fighting
Low Sweep,40.0,-33.0,4.0,Charge,Fighting
Brick Break,50.0,-33.0,3.0,Charge,Fighting
Brick Break+,150.0,-100.0,3.0,Charge,Fighting
Brick Break++,165.0,-100.0,3.0,Charge,Fighting
Brick Break+++,180.0,-100.0,3.0,Charge,Fighting
Brick Break++++,195.0,-100.0,3.0,Charge,Fighting
Drain Punch,50.0,-33.0,5.0,Charge,Fighting
Power-Up Punch,50.0,-33.0,4.0,Charge,Fighting
Sacred Sword,50.0,-33.0,2.0,Charge,Fighting
Secret Sword,120.0,-50.0,4.0,Charge,Fighting
Collision Course (Test),200.0,-100.0,8.0,Charge,Fighting
Wing Attack,10.0,11.0,2.0,Fast,Flying
Peck,10.0,10.0,2.0,Fast,Flying
Hidden Power Flying,15.0,15.0,3.0,Fast,Flying
Air Slash,12.0,8.0,2.0,Fast,Flying
Gust,25.0,20.0,4.0,Fast,Flying
Hurricane,105.0,-100.0,5.0,Charge,Flying
Brave Bird,130.0,-100.0,4.0,Charge,Flying
Aeroblast,180.0,-100.0,7.0,Charge,Flying
Aeroblast+,200.0,-100.0,7.0,Charge,Flying
Aeroblast++,225.0,-100.0,7.0,Charge,Flying
Acrobatics,100.0,-100.0,4.0,Charge,Flying
Bleakwind Storm,150.0,-100.0,5.0,Charge,Flying
Air Cutter,55.0,-50.0,5.0,Charge,Flying
Sky Attack,80.0,-50.0,4.0,Charge,Flying
Fly,90.0,-50.0,4.0,Charge,Flying
Feather Dance,35.0,-50.0,6.0,Charge,Flying
Dragon Ascent,140.0,-50.0,7.0,Charge,Flying
Oblivion Wing,85.0,-50.0,4.0,Charge,Flying
Drill Peck,70.0,-33.0,5.0,Charge,Flying
Drill Peck+,170.0,-100.0,5.0,Charge,Flying
Drill Peck++,194.0,-100.0,5.0,Charge,Flying
Drill Peck+++,211.0,-100.0,5.0,Charge,Flying
Drill Peck++++,228.0,-100.0,5.0,Charge,Flying
Aerial Ace,55.0,-33.0,5.0,Charge,Flying
Beak Blast,125.0,-50.0,5.0,Charge,Flying
Ice Shard,10.0,10.0,2.0,Fast,Ice
Frost Breath,11.0,9.0,2.0,Fast,Ice
Hidden Power Ice,15.0,15.0,3.0,Fast,Ice
Powder Snow,6.0,15.0,2.0,Fast,Ice
Ice Fang,12.0,20.0,3.0,Fast,Ice
Blizzard,130.0,-100.0,6.0,Charge,Ice
Techno Blast (Ice),120.0,-100.0,4.0,Charge,Ice
Glaciate,160.0,-100.0,5.0,Charge,Ice
Freeze Shock,160.0,-100.0,3.0,Charge,Ice
Ice Beam,95.0,-50.0,7.0,Charge,Ice
Aurora Beam,80.0,-50.0,7.0,Charge,Ice
Avalanche,85.0,-50.0,5.0,Charge,Ice
Ice Burn,90.0,-50.0,4.0,Charge,Ice
Ice Punch,50.0,-33.0,4.0,Charge,Ice
Icy Wind,65.0,-33.0,7.0,Charge,Ice
Weather Ball (Ice),55.0,-33.0,3.0,Charge,Ice
Icicle Spear,55.0,-33.0,4.0,Charge,Ice
Triple Axel,60.0,-33.0,4.0,Charge,Ice
Glacial Lance (Test),130.0,-50.0,4.0,Charge,Ice
Poison Jab,13.0,9.0,2.0,Fast,Poison
Acid,11.0,10.0,2.0,Fast,Poison
Hidden Power Poison,15.0,15.0,3.0,Fast,Poison
Poison Sting,4.0,6.0,1.0,Fast,Poison
Sludge,50.0,-33.0,4.0,Charge,Poison
Poison Fang,30.0,-33.0,3.0,Charge,Poison
Cross Poison,40.0,-33.0,3.0,Charge,Poison
Sludge Bomb,85.0,-50.0,5.0,Charge,Poison
Sludge Wave,105.0,-100.0,6.0,Charge,Poison
Gunk Shot,130.0,-100.0,6.0,Charge,Poison
Acid Spray,20.0,-50.0,6.0,Charge,Poison
Acid Spray+,160.0,-100.0,6.0,Charge,Poison
Acid Spray++,176.0,-100.0,6.0,Charge,Poison
Acid Spray+++,192.0,-100.0,6.0,Charge,Poison
Acid Spray++++,208.0,-100.0,6.0,Charge,Poison
Bite,6.0,4.0,1.0,Fast,Dark
Sucker Punch,5.0,6.0,1.0,Fast,Dark
Hidden Power Dark,15.0,15.0,3.0,Fast,Dark
Feint Attack,11.0,10.0,2.0,Fast,Dark
Snarl,11.0,13.0,2.0,Fast,Dark
Payback,95.0,-100.0,4.0,Charge,Dark
Dark Pulse,80.0,-50.0,6.0,Charge,Dark
Foul Play,70.0,-50.0,4.0,Charge,Dark
Night Daze (Test),95,-50.0,4.0,Charge,Dark
Darkest Lariat,80.0,-50.0,4.0,Charge,Dark
Aura Wheel,100.0,-50.0,5.0,Charge,Electric
Night Slash,45.0,-33.0,4.0,Charge,Dark
Crunch,65.0,-33.0,6.0,Charge,Dark
Brutal Swing,65.0,-33.0,4.0,Charge,Dark
Obstruct,20.0,-33.0,3.0,Charge,Dark
Dark Void (Test),105.0,-50.0,4.0,Charge,Dark
Hyperspace Hole (Test),160.0,-100.0,4.0,Charge,Dark
Quick Attack,10.0,13.0,2.0,Fast,Normal
Scratch,6.0,4.0,1.0,Fast,Normal
Tackle,5.0,5.0,1.0,Fast,Normal
Pound,6.0,5.0,1.0,Fast,Normal
Cut,5.0,5.0,1.0,Fast,Normal
Hidden Power,15.0,15.0,3.0,Fast,Normal
Take Down,7.0,8.0,2.0,Fast,Normal
Yawn,0.0,13.0,3.0,Fast,Normal
Present,6.0,23.0,3.0,Fast,Normal
Lock On,2.0,10.0,1.0,Fast,Normal
Hyper Beam,150.0,-100.0,8.0,Charge,Normal
Skull Bash,130.0,-100.0,6.0,Charge,Normal
Giga Impact,200.0,-100.0,9.0,Charge,Normal
Techno blast (Normal),120.0,-100.0,4.0,Charge,Normal
Boomburst,150.0,-100.0,5.0,Charge,Normal
Swift,65.0,-50.0,6.0,Charge,Normal
Stomp,50.0,-50.0,3.0,Charge,Normal
Hyper Fang,80.0,-50.0,5.0,Charge,Normal
Last Resort,90.0,-50.0,6.0,Charge,Normal
Tri Attack,75.0,-50.0,5.0,Charge,Normal
Wrap,60.0,-33.0,6.0,Charge,Normal
Vise Grip,35.0,-33.0,4.0,Charge,Normal
Horn Attack,45.0,-33.0,4.0,Charge,Normal
Body Slam,50.0,-33.0,4.0,Charge,Normal
Crush Grip,210.0,-100.0,4.0,Charge,Normal
Thunder Shock,4.0,7.0,1.0,Fast,Electric
Spark,4.0,6.0,1.0,Fast,Electric
Hidden Power Electric,15.0,15.0,3.0,Fast,Electric
Charge Beam,7.0,14.0,2.0,Fast,Electric
Volt Switch,13.0,20.0,3.0,Fast,Electric
Thunder Fang,10.0,13.0,2.0,Fast,Electric
Thunder,100.0,-100.0,5.0,Charge,Electric
Zap Cannon,140.0,-100.0,7.0,Charge,Electric
Zap Cannon+,160.0,-100.0,7.0,Charge,Electric
Zap Cannon++,176.0,-100.0,7.0,Charge,Electric
Zap Cannon+++,192.0,-100.0,7.0,Charge,Electric
Zap Cannon++++,208.0,-100.0,7.0,Charge,Electric
Techno blast (Electric),120.0,-100.0,4.0,Charge,Electric
Fusion Bolt,140.0,-100.0,4.0,Charge,Electric
Wildbolt Storm,150.0,-100.0,5.0,Charge,Electric
Parabolic Charge,70.0,-50.0,6.0,Charge,Electric
Thunderbolt,80.0,-50.0,5.0,Charge,Electric
Wild Charge,90.0,-50.0,5.0,Charge,Electric
Discharge,65.0,-33.0,5.0,Charge,Electric
Thunder Punch,50.0,-33.0,4.0,Charge,Electric
Volt Tackle,90.0,-33.0,7.0,Charge,Electric
Volt Tackle+,170.0,-100.0,7.0,Charge,Electric
Volt Tackle++,187.0,-100.0,7.0,Charge,Electric
Volt Tackle+++,204.0,-100.0,7.0,Charge,Electric
Volt Tackle++++,221.0,-100.0,7.0,Charge,Electric
Thunder Cage,220.0,-100.0,7.0,Charge,Electric
Electro Drift (Test),115.0,-50.0,3.0,Charge,Electric
Plasma Fists,135.0,-50.0,7.0,Charge,Electric
Fury Cutter,4.0,8.0,1.0,Fast,Bug
Bug Bite,5.0,6.0,1.0,Fast,Bug
Infestation,9.0,13.0,2.0,Fast,Bug
Struggle Bug,15.0,15.0,3.0,Fast,Bug
Hidden Power Bug,15.0,15.0,3.0,Fast,Bug
Megahorn,105.0,-100.0,4.0,Charge,Bug
Bug Buzz,95.0,-50.0,7.0,Charge,Bug
Signal Beam,75.0,-50.0,6.0,Charge,Bug
X-Scissor,45.0,-33.0,3.0,Charge,Bug
Silver Wind,65.0,-33.0,7.0,Charge,Bug
Lunge,55.0,-33.0,6.0,Charge,Bug
Fell Stinger,45.0,-33.0,4.0,Charge,Bug
