pokemon,move,category,elite
nidoran female,Body Slam,charge,0
nidoran female,Poison Fang,charge,0
nidoran female,Sludge Bomb,charge,0
shadow nidoran female,Bite,fast,0
shadow nidoran female,Poison Sting,fast,0
shadow nidoran female,Body Slam,charge,0
shadow nidoran female,Poison Fang,charge,0
shadow nidoran female,Sludge Bomb,charge,0
nidorina,Bite,fast,0
nidorina,Poison Sting,fast,0
nidorina,Dig,charge,0
nidorina,Poison Fang,charge,0
nidorina,Sludge Bomb,charge,0
nidorina,Thunderbolt,charge,0
shadow nidorina,Bite,fast,0
shadow nidorina,Poison Sting,fast,0
shadow nidorina,Dig,charge,0
shadow nidorina,Poison Fang,charge,0
shadow nidorina,Sludge Bomb,charge,0
shadow nidorina,Thunderbolt,charge,0
nidoqueen,Bite,fast,0
nidoqueen,Poison Jab,fast,0
nidoqueen,Poison Sting,fast,0
nidoqueen,Mud Slap,fast,0
nidoqueen,Earthquake,charge,0
nidoqueen,Sludge Wave,charge,0
nidoqueen,Stone Edge,charge,0
nidoqueen,Earth Power,charge,0
nidoqueen,Poison Fang,charge,0
shadow nidoqueen,Bite,fast,0
shadow nidoqueen,Poison Jab,fast,0
shadow nidoqueen,Poison Sting,fast,0
shadow nidoqueen,Mud Slap,fast,0
shadow nidoqueen,Earthquake,charge,0
shadow nidoqueen,Sludge Wave,charge,0
shadow nidoqueen,Stone Edge,charge,0
shadow nidoqueen,Earth Power,charge,0
shadow nidoqueen,Poison Fang,charge,0
nidoran male,Peck,fast,0
nidoran male,Poison Sting,fast,0
nidoran male,Body Slam,charge,0
nidoran male,Horn Attack,charge,0
nidoran male,Sludge Bomb,charge,0
shadow nidoran male,Peck,fast,0
shadow nidoran male,Poison Sting,fast,0
shadow nidoran male,Body Slam,charge,0
shadow nidoran male,Horn Attack,charge,0
shadow nidoran male,Sludge Bomb,charge,0
nidorino,Poison Jab,fast,0
nidorino,Poison Sting,fast,0
nidorino,Dig,charge,0
nidorino,Horn Attack,charge,0
nidorino,Sludge Bomb,charge,0
nidorino,Ice Beam,charge,0
shadow nidorino,Poison Jab,fast,0
shadow nidorino,Poison Sting,fast,0
shadow nidorino,Dig,charge,0
shadow nidorino,Horn Attack,charge,0
shadow nidorino,Sludge Bomb,charge,0
shadow nidorino,Ice Beam,charge,0
nidoking,Fury Cutter,fast,1
nidoking,Iron Tail,fast,0
nidoking,Poison Jab,fast,0
nidoking,Double Kick,fast,0
nidoking,Poison Sting,fast,0
nidoking,Earthquake,charge,0
nidoking,Megahorn,charge,0
nidoking,Sludge Wave,charge,0
nidoking,Earth Power,charge,0
nidoking,Sand Tomb,charge,0
shadow nidoking,Fury Cutter,fast,0
shadow nidoking,Iron Tail,fast,0
shadow nidoking,Poison Jab,fast,0
shadow nidoking,Double Kick,fast,0
shadow nidoking,Poison Sting,fast,0
shadow nidoking,Earthquake,charge,0
shadow nidoking,Megahorn,charge,0
shadow nidoking,Sludge Wave,charge,0
shadow nidoking,Earth Power,charge,0
shadow nidoking,Sand Tomb,charge,0
clefairy,Pound,fast,0
clefairy,Zen Headbutt,fast,0
clefairy,Body Slam,charge,0
clefairy,Disarming Voice,charge,0
clefairy,Moonblast,charge,0
clefairy,Swift,charge,0
clefable,Charge Beam,fast,0
clefable,Pound,fast,1
clefable,Zen Headbutt,fast,0
clefable,Charm,fast,0
clefable,Fairy Wind,fast,0
clefable,Dazzling Gleam,charge,0
clefable,Meteor Mash,charge,0
clefable,Moonblast,charge,0
clefable,Psychic,charge,0
clefable,Swift,charge,0
clefable,Draining Kiss,charge,0
vulpix,Ember,fast,0
vulpix,Quick Attack,fast,0
vulpix,Body Slam,charge,0
vulpix,Flame Charge,charge,0
vulpix,Flamethrower,charge,0
vulpix,Weather Ball (Fire),charge,0
alolan vulpix,Powder Snow,fast,0
alolan vulpix,Zen Headbutt,fast,0
alolan vulpix,Blizzard,charge,0
alolan vulpix,Dark Pulse,charge,0
alolan vulpix,Ice Beam,charge,0
alolan vulpix,Weather Ball (Ice),charge,0
shadow vulpix,Ember,fast,0
shadow vulpix,Quick Attack,fast,0
shadow vulpix,Body Slam,charge,0
shadow vulpix,Flame Charge,charge,0
shadow vulpix,Flamethrower,charge,0
shadow vulpix,Weather Ball (Fire),charge,0
ninetales,Ember,fast,1
ninetales,Feint Attack,fast,0
ninetales,Fire Spin,fast,0
ninetales,Fire Blast,charge,1
ninetales,Flamethrower,charge,1
ninetales,Heat Wave,charge,0
ninetales,Overheat,charge,0
ninetales,Psyshock,charge,0
ninetales,Solar Beam,charge,0
ninetales,Weather Ball (Fire),charge,0
ninetales,Scorching Sands,charge,0
ninetales,Energy Ball,charge,0
alolan ninetales,Feint Attack,fast,0
alolan ninetales,Powder Snow,fast,0
alolan ninetales,Charm,fast,0
alolan ninetales,Blizzard,charge,0
alolan ninetales,Dazzling Gleam,charge,0
alolan ninetales,Ice Beam,charge,0
alolan ninetales,Psyshock,charge,0
alolan ninetales,Weather Ball (Ice),charge,0
shadow ninetales,Ember,fast,0
shadow ninetales,Feint Attack,fast,0
shadow ninetales,Fire Spin,fast,0
shadow ninetales,Fire Blast,charge,0
shadow ninetales,Flamethrower,charge,0
shadow ninetales,Heat Wave,charge,0
shadow ninetales,Overheat,charge,0
shadow ninetales,Psyshock,charge,0
shadow ninetales,Solar Beam,charge,0
shadow ninetales,Weather Ball (Fire),charge,0
shadow ninetales,Scorching Sands,charge,0
shadow ninetales,Energy Ball,charge,0
jigglypuff,Feint Attack,fast,0
jigglypuff,Pound,fast,0
jigglypuff,Body Slam,charge,1
jigglypuff,Dazzling Gleam,charge,0
jigglypuff,Disarming Voice,charge,0
jigglypuff,Gyro Ball,charge,0
jigglypuff,Play Rough,charge,1
jigglypuff,Swift,charge,0
wigglytuff,Feint Attack,fast,0
wigglytuff,Pound,fast,0
wigglytuff,Charm,fast,0
wigglytuff,Dazzling Gleam,charge,0
wigglytuff,Hyper Beam,charge,0
wigglytuff,Ice Beam,charge,0
wigglytuff,Play Rough,charge,0
wigglytuff,Disarming Voice,charge,0
wigglytuff,Icy Wind,charge,0
wigglytuff,Swift,charge,0
zubat,Bite,fast,0
zubat,Quick Attack,fast,0
zubat,Air Cutter,charge,0
zubat,Poison Fang,charge,0
zubat,Sludge Bomb,charge,1
zubat,Swift,charge,0
shadow zubat,Bite,fast,0
shadow zubat,Quick Attack,fast,0
shadow zubat,Air Cutter,charge,0
shadow zubat,Poison Fang,charge,0
shadow zubat,Sludge Bomb,charge,0
shadow zubat,Swift,charge,0
golbat,Bite,fast,0
golbat,Wing Attack,fast,0
golbat,Air Cutter,charge,0
golbat,Ominous Wind,charge,1
golbat,Poison Fang,charge,0
golbat,Shadow Ball,charge,0
shadow golbat,Bite,fast,0
shadow golbat,Wing Attack,fast,0
shadow golbat,Air Cutter,charge,0
shadow golbat,Ominous Wind,charge,0
shadow golbat,Poison Fang,charge,0
shadow golbat,Shadow Ball,charge,0
oddish,Acid,fast,0
oddish,Razor Leaf,fast,0
oddish,Moonblast,charge,0
oddish,Seed Bomb,charge,0
oddish,Sludge Bomb,charge,0
shadow oddish,Acid,fast,0
shadow oddish,Razor Leaf,fast,0
shadow oddish,Moonblast,charge,0
shadow oddish,Seed Bomb,charge,0
shadow oddish,Sludge Bomb,charge,0
gloom,Acid,fast,0
gloom,Razor Leaf,fast,0
gloom,Moonblast,charge,0
gloom,Petal Blizzard,charge,0
gloom,Sludge Bomb,charge,0
shadow gloom,Acid,fast,0
shadow gloom,Razor Leaf,fast,0
shadow gloom,Moonblast,charge,0
shadow gloom,Petal Blizzard,charge,0
shadow gloom,Sludge Bomb,charge,0
vileplume,Acid,fast,0
vileplume,Razor Leaf,fast,0
vileplume,Moonblast,charge,0
vileplume,Petal Blizzard,charge,0
vileplume,Solar Beam,charge,0
vileplume,Sludge Bomb,charge,0
shadow vileplume,Acid,fast,0
shadow vileplume,Razor Leaf,fast,0
shadow vileplume,Moonblast,charge,0
shadow vileplume,Petal Blizzard,charge,0
shadow vileplume,Solar Beam,charge,0
shadow vileplume,Sludge Bomb,charge,0
paras,Bug Bite,fast,0
paras,Scratch,fast,0
paras,Cross Poison,charge,0
paras,Seed Bomb,charge,0
paras,X-Scissor,charge,0
parasect,Bug Bite,fast,1
parasect,Fury Cutter,fast,0
parasect,Struggle Bug,fast,0
parasect,Cross Poison,charge,0
parasect,Solar Beam,charge,0
parasect,X-Scissor,charge,0
venonat,Bug Bite,fast,0
venonat,Confusion,fast,0
venonat,Poison Fang,charge,0
venonat,Psybeam,charge,0
venonat,Signal Beam,charge,0
shadow venonat,Bug Bite,fast,0
shadow venonat,Confusion,fast,0
shadow venonat,Poison Fang,charge,0
shadow venonat,Psybeam,charge,0
shadow venonat,Signal Beam,charge,0
venomoth,Bug Bite,fast,1
venomoth,Confusion,fast,0
venomoth,Infestation,fast,0
venomoth,Psywave,fast,0
venomoth,Bug Buzz,charge,0
venomoth,Poison Fang,charge,0
venomoth,Psychic,charge,0
venomoth,Silver Wind,charge,0
shadow venomoth,Bug Bite,fast,0
shadow venomoth,Confusion,fast,0
shadow venomoth,Infestation,fast,0
shadow venomoth,Psywave,fast,0
shadow venomoth,Bug Buzz,charge,0
shadow venomoth,Poison Fang,charge,0
shadow venomoth,Psychic,charge,0
shadow venomoth,Silver Wind,charge,0
diglett,Mud Shot,fast,0
diglett,Mud Slap,fast,0
diglett,Scratch,fast,0
diglett,Dig,charge,0
diglett,Mud Bomb,charge,0
diglett,Rock Tomb,charge,0
alolan diglett,Metal Claw,fast,0
alolan diglett,Mud Slap,fast,0
alolan diglett,Sand Attack,fast,0
alolan diglett,Dig,charge,0
alolan diglett,Mud Bomb,charge,0
alolan diglett,Rock Tomb,charge,0
shadow diglett,Mud Shot,fast,0
shadow diglett,Mud Slap,fast,0
shadow diglett,Scratch,fast,0
shadow diglett,Dig,charge,0
shadow diglett,Mud Bomb,charge,0
shadow diglett,Rock Tomb,charge,0
dugtrio,Mud Shot,fast,0
dugtrio,Mud Slap,fast,0
dugtrio,Sucker Punch,fast,0
dugtrio,Earthquake,charge,0
dugtrio,Mud Bomb,charge,0
dugtrio,Stone Edge,charge,0
alolan dugtrio,Metal Claw,fast,0
alolan dugtrio,Mud Slap,fast,0
alolan dugtrio,Sand Attack,fast,0
alolan dugtrio,Earthquake,charge,0
alolan dugtrio,Iron Head,charge,0
alolan dugtrio,Mud Bomb,charge,0
shadow dugtrio,Mud Shot,fast,0
shadow dugtrio,Mud Slap,fast,0
shadow dugtrio,Sucker Punch,fast,0
shadow dugtrio,Earthquake,charge,0
shadow dugtrio,Mud Bomb,charge,0
shadow dugtrio,Stone Edge,charge,0
meowth,Bite,fast,0
meowth,Scratch,fast,0
meowth,Body Slam,charge,1
meowth,Dark Pulse,charge,0
meowth,Foul Play,charge,0
meowth,Night Slash,charge,0
alolan meowth,Bite,fast,0
