name,hp,atk,def,type1,type2
Tentacruel,190,166,209,Water,Poison
Geodude,120,132,132,Rock,Ground
Alolan Geodude,120,132,132,,
Graveler,146,164,164,Rock,Ground
Alolan Graveler,146,164,164,,
Golem,190,211,198,Rock,Ground
Alolan Golem,190,211,198,,
Ponyta,137,170,127,Fire,
Galarian Ponyta,137,170,127,Psychic,
Rapidash,163,207,162,Fire,
Galarian Rapidash,163,207,162,Psychic,Fairy
Slowpoke,207,109,98,Water,Psychic
Galarian Slowpoke,207,109,98,,
Slowbro,216,177,180,Water,Psychic
Galarian Slowbro,216,182,156,,
Mega Slowbro,216,224,259,Water,Psychic
Magnemite,93,165,121,Electric,Steel
Magneton,137,223,169,Electric,Steel
Farfetch'd,141,124,115,Normal,Flying
Galarian Farfetch'd,141,174,114,,
Doduo,111,158,83,Normal,Flying
Dodrio,155,218,140,Normal,Flying
Seel,163,85,121,Water,
Dewgong,207,139,177,Water,Ice
Grimer,190,135,90,Poison,
Alolan Grimer,190,135,90,,
Muk,233,190,172,Poison,
Alolan Muk,233,190,172,Poison,Dark
Shellder,102,116,134,Water,
Cloyster,137,186,256,Water,Ice
Gastly,102,186,67,Ghost,Poison
Haunter,128,223,107,Ghost,Poison
Gengar,155,261,149,Ghost,Poison
Shadow Gengar,155,261,149,,
Mega Gengar,155,349,199,Ghost,Poison
Onix,111,85,232,Rock,Ground
Drowzee,155,89,136,Psychic,
Hypno,198,144,193,Psychic,
Krabby,102,181,124,Water,
Kingler,146,240,181,Water,
Voltorb,120,109,111,Electric,
Hisuian Voltorb,120,109,111,,
Electrode,155,173,173,Electric,
Hisuian Electrode,155,176,176,,
Exeggcute,155,107,125,Grass,Psychic
Exeggutor,216,233,149,Grass,Psychic
Alolan Exeggutor,216,230,153,,
Cubone,137,90,144,Ground,
Marowak,155,144,186,Ground,
Alolan Marowak,155,144,186,Fire,Ghost
Hitmonlee,137,224,181,Fighting,
Hitmonchan,137,193,197,Fighting,
Lickitung,207,108,137,Normal,
Koffing,120,119,141,Poison,
Weezing,163,174,197,Poison,
Galarian Weezing,163,174,197,Poison,Fairy
Rhyhorn,190,140,127,Ground,Rock
Rhydon,233,222,171,Ground,Rock
Chansey,487,60,128,Normal,
Tangela,163,183,169,Grass,
Kangaskhan,233,181,165,Normal,
Mega Kangaskhan,233,246,210,Normal,
Horsea,102,129,103,Water,
Seadra,146,187,156,Water,
Goldeen,128,123,110,Water,
Seaking,190,175,147,Water,
Staryu,102,137,112,Water,
Starmie,155,210,184,Water,Psychic
Mega Starmie,155,303,229,Water,Psychic
Mr. Mime,120,192,205,Psychic,Fairy
Galarian Mr. Mime,137,183,169,,
Scyther,172,218,170,Bug,Flying
Jynx,163,223,151,Ice,Psychic
Electabuzz,163,198,158,Electric,
Magmar,163,206,154,Fire,
Pinsir,163,238,182,Bug,
Mega Pinsir,163,305,231,Bug,Flying
Tauros,181,198,183,Normal,
Magikarp,85,29,85,Water,
Gyarados,216,237,186,Water,Flying
Mega Gyarados,216,292,247,Water,Dark
Lapras,277,165,174,Water,Ice
Ditto,134,91,91,Normal,
Eevee,146,104,114,Normal,
Vaporeon,277,205,161,Water,
Jolteon,163,232,182,Electric,
Flareon,163,246,179,Fire,
Porygon,163,153,136,Normal,
Omanyte,111,155,153,Rock,Water
Omastar,172,207,201,Rock,Water
Kabuto,102,148,140,Rock,Water
Kabutops,155,220,186,Rock,Water
Aerodactyl,190,221,159,Rock,Flying
Mega Aerodactyl,190,292,210,Rock,Flying
Snorlax,330,190,169,Normal,
Articuno,207,192,236,Ice,Flying
Galarian Articuno,207,250,197,,
Zapdos,207,253,185,Electric,Flying
Galarian Zapdos,207,252,189,,
Moltres,207,251,181,Fire,Flying
Shadow Moltres,207,251,181,,
Galarian Moltres,207,202,231,,
Dratini,121,119,91,Dragon,
Dragonair,156,163,135,Dragon,
Dragonite,209,263,198,Dragon,Flying
Mega Dragonite,209,299,255,Dragon,Flying
Mewtwo,214,300,182,Psychic,
Mega Mewtwo X,228,399,215,Psychic,Fighting
Mega Mewtwo Y,228,413,223,Psychic,
Mewtwo Armored,214,182,278,,
Shadow Mewtwo,214,300,182,,
Mew,225,210,210,Psychic,
Chikorita,128,92,122,Grass,
Bayleef,155,122,155,Grass,
Meganium,190,168,202,Grass,
Mega Meganium,190,276,232,Grass,Fairy
Cyndaquil,118,116,93,Fire,
Quilava,151,158,126,Fire,
Typhlosion,186,223,173,Fire,
Hisuian Typhlosion,177,238,172,Fire,Ghost
Totodile,137,117,109,Water,
Croconaw,163,150,142,Water,
Feraligatr,198,205,188,Water,
Mega Feraligatr,198,304,227,Water,Dragon
Sentret,111,79,73,Normal,
Furret,198,148,125,Normal,
Hoothoot,155,67,88,Normal,Flying
Noctowl,225,145,156,Normal,Flying
Ledyba,120,72,118,Bug,Flying
Ledian,146,107,179,Bug,Flying
Spinarak,120,105,73,Bug,Poison
Ariados,172,161,124,Bug,Poison
Crobat,198,194,178,Poison,Flying
Chinchou,181,106,97,Water,Electric
Lanturn,268,146,137,Water,Electric
Pichu,85,77,53,Electric,
Cleffa,137,75,79,Fairy,
Igglybuff,207,69,32,Normal,Fairy
Togepi,111,67,116,Fairy,
Togetic,146,139,181,Fairy,Flying
Natu,120,134,89,Psychic,Flying
Xatu,163,192,146,Psychic,Flying
Mareep,146,114,79,Electric,
Flaaffy,172,145,109,Electric,
Ampharos,207,211,169,Electric,
Mega Ampharos,207,294,203,Electric,Dragon
Bellossom,181,169,186,Grass,
Marill,172,37,93,Water,Fairy
Azumarill,225,112,152,Water,Fairy
Sudowoodo,172,167,176,Rock,
Politoed,207,174,179,Water,
Hoppip,111,67,94,Grass,Flying
Skiploom,146,91,120,Grass,Flying
Jumpluff,181,118,183,Grass,Flying
Aipom,146,136,112,Normal,
Sunkern,102,55,55,Grass,
Sunflora,181,185,135,Grass,
Yanma,163,154,94,Bug,Flying
Wooper,146,75,66,Water,Ground
Paldean Wooper,146,75,66,,
Quagsire,216,152,143,Water,Ground
Espeon,163,261,175,Psychic,
Umbreon,216,126,240,Dark,
Murkrow,155,175,87,Dark,Flying
Slowking,216,177,180,Water,Psychic
Galarian Slowking,216,190,180,Poison,Psychic
Misdreavus,155,167,154,Ghost,
Unown,134,136,91,Psychic,
Wobbuffet,382,60,106,Psychic,
Girafarig,172,182,133,Normal,Psychic
Pineco,137,108,122,Bug,
Forretress,181,161,205,Bug,Steel
Dunsparce,225,131,128,Normal,
Gligar,163,143,184,Ground,Flying
Steelix,181,148,272,Steel,Ground
Mega Steelix,181,212,327,Steel,Ground
Snubbull,155,137,85,Fairy,
Granbull,207,212,131,Fairy,
Qwilfish,163,184,138,Water,Poison
Hisuian Qwilfish,163,184,151,,
Scizor,172,236,181,Bug,Steel
Mega Scizor,172,279,250,Bug,Steel
Shuckle,85,17,396,Bug,Rock
Heracross,190,234,179,Bug,Fighting
Mega Heracross,190,334,223,Bug,Fighting
Sneasel,146,189,146,Dark,Ice
Hisuian Sneasel,146,189,146,,
Teddiursa,155,142,93,Normal,
Ursaring,207,236,144,Normal,
Slugma,120,118,71,Fire,
Magcargo,137,139,191,Fire,Rock
Swinub,137,90,69,Ice,Ground
Piloswine,225,181,138,Ice,Ground
Corsola,146,118,156,Water,Rock
Remoraid,111,127,69,Water,
Octillery,181,197,141,Water,
Delibird,128,128,90,Ice,Flying
Mantine,163,148,226,Water,Flying
Skarmory,163,148,226,Steel,Flying
Mega Skarmory,163,273,228,Steel,Flying
Houndour,128,152,83,Dark,Fire
Houndoom,181,224,144,Dark,Fire
Mega Houndoom,181,289,194,Dark,Fire
Kingdra,181,194,194,Water,Dragon
Phanpy,207,107,98,Ground,
Donphan,207,214,185,Ground,
Porygon2,198,198,180,Normal,
Stantler,177,192,131,Normal,
Smeargle,146,40,83,Normal,
Tyrogue,111,64,64,Fighting,
Hitmontop,137,173,207,Fighting,
Smoochum,128,153,91,Ice,Psychic
Elekid,128,135,101,Electric,
Magby,128,151,99,Fire,
Miltank,216,157,193,Normal,
Blissey,496,129,169,Normal,
Raikou,207,241,195,Electric,
Shadow Raikou,207,241,195,,
Entei,251,235,171,Fire,
Suicune,225,180,235,Water,
Larvitar,137,115,93,Rock,Ground
Pupitar,172,155,133,Rock,Ground
Tyranitar,225,251,207,Rock,Dark
Mega Tyranitar,225,309,276,Rock,Dark
Lugia,235,193,310,Psychic,Flying
Ho-oh,214,239,244,Fire,Flying
Celebi,225,210,210,Psychic,Grass
Treecko,120,124,94,Grass,
Grovyle,137,172,120,Grass,
Sceptile,172,223,169,Grass,
Mega Sceptile,172,320,186,Grass,Dragon
Torchic,128,130,87,Fire,
Combusken,155,163,115,Fire,Fighting
Blaziken,190,240,141,Fire,Fighting
Shadow Blaziken,190,240,141,,
Mega Blaziken,190,329,168,Fire,Fighting
Mudkip,137,126,93,Water,
Marshtomp,172,156,133,Water,Ground
Swampert,225,208,175,Water,Ground
Shadow Swampert,225,208,175,,
Mega Swampert,225,283,218,Water,Ground
Poochyena,111,96,61,Dark,
Mightyena,172,171,132,Dark,
Zigzagoon,116,58,80,Normal,
Galarian Zigzagoon,116,58,80,Dark,Normal
Linoone,186,142,128,Normal,
Galarian Linoone,186,142,128,,
Wurmple,128,75,59,Bug,
Silcoon,137,60,77,Bug,
Beautifly,155,189,98,Bug,Flying
Cascoon,137,60,77,Bug,
Dustox,155,98,162,Bug,Poison
Lotad,120,71,77,Water,Grass
Lombre,155,112,119,Water,Grass
Ludicolo,190,173,176,Water,Grass
Seedot,120,71,77,Grass,
Nuzleaf,172,134,78,Grass,Dark
Shiftry,207,200,121,Grass,Dark
Taillow,120,106,61,Normal,Flying
Swellow,155,185,124,Normal,Flying
Wingull,120,106,61,Water,Flying
Pelipper,155,175,174,Water,Flying
Ralts,99,79,59,Psychic,Fairy
Kirlia,116,117,90,Psychic,Fairy
Gardevoir,169,237,195,Psychic,Fairy
Shadow Gardevoir,169,237,195,,
Mega Gardevoir,169,326,229,Psychic,Fairy
Surskit,120,93,87,Bug,Water
Masquerain,172,192,150,Bug,Flying
Shroomish,155,74,110,Grass,
Breloom,155,241,144,Grass,Fighting
Slakoth,155,104,92,Normal,
Vigoroth,190,159,145,Normal,
Slaking,284,290,166,Normal,
Nincada,104,80,126,Bug,Ground
Ninjask,156,199,112,Bug,Flying
Shedinja,1,153,73,Bug,Ghost
Whismur,162,92,42,Normal,
Loudred,197,134,81,Normal,
Exploud,232,179,137,Normal,
Makuhita,176,99,54,Fighting,
Hariyama,302,209,114,Fighting,
Azurill,137,36,71,Normal,Fairy
Nosepass,102,82,215,Rock,
Skitty,137,84,79,Normal,
Delcatty,172,132,127,Normal,
Sableye,137,141,136,Dark,Ghost
Mega Sableye,137,151,216,Dark,Ghost
Mawile,137,155,141,Steel,Fairy
Mega Mawile,137,188,217,Steel,Fairy
Aron,137,121,141,Steel,Rock
Lairon,155,158,198,Steel,Rock
Aggron,172,198,257,Steel,Rock
Mega Aggron,172,247,331,Steel,
Meditite,102,78,107,Fighting,Psychic
Medicham,155,121,152,Fighting,Psychic
Mega Medicham,155,205,179,Fighting,Psychic
Electrike,120,123,78,Electric,
Manectric,172,215,127,Electric,
Mega Manectric,172,286,179,Electric,
Plusle,155,167,129,Electric,
Minun,155,147,150,Electric,
Volbeat,163,143,166,Bug,
Illumise,163,143,166,Bug,
Roselia,137,186,131,Grass,Poison
Gulpin,172,80,99,Poison,
Swalot,225,140,159,Poison,
Carvanha,128,171,39,Water,Dark
Sharpedo,172,243,83,Water,Dark
Mega Sharpedo,172,289,144,Water,Dark
Wailmer,277,136,68,Water,
Wailord,347,175,87,Water,
Numel,155,119,79,Fire,Ground
Camerupt,172,194,136,Fire,Ground
Mega Camerupt,172,253,183,Fire,Ground
Torkoal,172,151,203,Fire,
Spoink,155,125,122,Psychic,
Grumpig,190,171,188,Psychic,
Spinda,155,116,116,Normal,
Trapinch,128,162,78,Ground,
Vibrava,137,134,99,Ground,Dragon
Flygon,190,205,168,Ground,Dragon
Cacnea,137,156,74,Grass,
Cacturne,172,221,115,Grass,Dark
Swablu,128,76,132,Normal,Flying
Altaria,181,141,201,Dragon,Flying
Mega Altaria,181,222,218,Dragon,Fairy
Zangoose,177,222,124,Normal,
Seviper,177,196,118,Poison,
Lunatone,207,178,153,Rock,Psychic
Solrock,207,178,153,Rock,Psychic
Barboach,137,93,82,Water,Ground
Whiscash,242,151,141,Water,Ground
Corphish,125,141,99,Water,
Crawdaunt,160,224,142,Water,Dark
Baltoy,120,77,124,Ground,Psychic
Claydol,155,140,229,Ground,Psychic
Lileep,165,105,150,Rock,Grass
Cradily,200,152,194,Rock,Grass
Anorith,128,176,100,Rock,Bug
Armaldo,181,222,174,Rock,Bug
Feebas,85,29,85,Water,
Milotic,216,192,219,Water,
Castform,172,139,139,Normal,
Kecleon,155,161,189,Normal,
Shuppet,127,138,65,Ghost,
Banette,162,218,126,Ghost,
Mega Banette,162,312,160,Ghost,
Duskull,85,70,162,Ghost,
Dusclops,120,124,234,Ghost,
Tropius,223,136,163,Grass,Flying
Chimecho,181,175,170,Psychic,
Mega Chimecho,181,244,228,Psychic,Steel
Absol,163,246,120,Dark,
Mega Absol,163,314,130,Dark,
Mega Absol Z,163,332,138,Dark,Ghost
Wynaut,216,41,86,Psychic,
Snorunt,137,95,95,Ice,
Glalie,190,162,162,Ice,
Mega Glalie,190,252,168,Ice,
Spheal,172,95,90,Ice,Water
Sealeo,207,137,132,Ice,Water
Walrein,242,182,176,Ice,Water
Clamperl,111,133,135,Water,
Huntail,146,197,179,Water,
Gorebyss,146,211,179,Water,
Relicanth,225,162,203,Water,Rock
Luvdisc,125,81,128,Water,
Bagon,128,134,93,Dragon,
Shelgon,163,172,155,Dragon,
Salamence,216,277,168,Dragon,Flying
Mega Salamence,216,310,251,Dragon,Flying
Shadow Salamence,216,277,168,,
Beldum,120,96,132,Steel,Psychic
Metang,155,138,176,Steel,Psychic
Metagross,190,257,228,Steel,Psychic
Shadow Metagross,190,257,228,,
Mega Metagross,189,300,289,Steel,Psychic
Regirock,190,179,309,Rock,
Regice,190,179,309,Ice,
Registeel,190,143,285,Steel,
Latias,190,228,246,Dragon,Psychic
Mega Latias,190,289,297,Dragon,Psychic
Latios,190,268,212,Dragon,Psychic
Mega Latios,190,335,241,Dragon,Psychic
Shadow Latios,190,268,212,,
Kyogre,205,270,228,Water,
Primal Kyogre,218,353,268,Water,
Shadow Kyogre,205,270,228,,
Groudon,205,270,228,Ground,
Primal Groudon,218,353,268,Ground,Fire
Shadow Groudon,205,270,228,,
Rayquaza,213,284,170,Dragon,Flying
Mega Rayquaza,227,377,210,Dragon,Flying
Jirachi,225,210,210,Steel,Psychic
Deoxys,137,345,115,Psychic,
Deoxys Attack,137,414,46,,
Deoxys Defense,137,144,330,,
Deoxys Speed,137,230,218,,
Turtwig,146,119,110,Grass,
Grotle,181,157,143,Grass,
Torterra,216,202,188,Grass,Ground
Chimchar,127,113,86,Fire,
Monferno,162,158,105,Fire,Fighting
Infernape,183,222,151,Fire,Fighting
Piplup,142,112,102,Water,
Prinplup,162,150,139,Water,
Empoleon,197,210,186,Water,Steel
Starly,120,101,58,Normal,Flying
Staravia,146,142,94,Normal,Flying
Staraptor,198,234,140,Normal,Flying
Mega Staraptor,198,278,207,Fighting,Flying
Bidoof,153,80,73,Normal,
Bibarel,188,162,119,Normal,Water
Kricketot,114,45,74,Bug,
Kricketune,184,160,100,Bug,
Shinx,128,117,64,Electric,
Luxio,155,159,95,Electric,
Luxray,190,232,156,Electric,
Budew,120,91,109,Grass,Poison
Roserade,155,243,185,Grass,Poison
Cranidos,167,218,71,Rock,
Rampardos,219,295,109,Rock,
Shadow Rampardos,219,295,109,,
Shieldon,102,76,195,Rock,Steel
Bastiodon,155,94,286,Rock,Steel
Burmy,120,53,83,Bug,
Wormadam Plant,155,141,180,,
Wormadam Trash,155,127,175,,
Wormadam Sandy,155,141,180,,
Mothim,172,185,98,Bug,Flying
Combee,102,59,83,Bug,Flying
Vespiquen,172,149,190,Bug,Flying
Pachirisu,155,94,172,Electric,
Buizel,146,132,67,Water,
Floatzel,198,221,114,Water,
Cherubi,128,108,92,Grass,
Cherrim,172,170,153,Grass,
Shellos,183,103,105,Water,
Gastrodon,244,169,143,Water,Ground
Ambipom,181,205,143,Normal,
Drifloon,207,117,80,Ghost,Flying
Drifblim,312,180,102,Ghost,Flying
Buneary,146,130,105,Normal,
Lopunny,163,156,194,Normal,
Mega Lopunny,163,282,214,Normal,Fighting
Mismagius,155,211,187,Ghost,
Honchkrow,225,243,103,Dark,Flying
Shadow Honchkrow,225,243,103,,
Glameow,135,109,82,Normal,
Purugly,174,172,133,Normal,
Chingling,128,114,94,Psychic,
Stunky,160,121,90,Poison,Dark
Skuntank,230,184,132,Poison,Dark
Bronzor,149,43,154,Steel,Psychic
Bronzong,167,161,213,Steel,Psychic
Bonsly,137,124,133,Rock,
Mime Jr.,85,125,142,Psychic,Fairy
Happiny,225,25,77,Normal,
Chatot,183,183,91,Normal,Flying
Spiritomb,137,169,199,Ghost,Dark
Gible,151,124,84,Dragon,Ground
Gabite,169,172,125,Dragon,Ground
Garchomp,239,261,193,Dragon,Ground
Mega Garchomp,239,339,222,Dragon,Ground
Mega Garchomp Z,239,321,196,Dragon,
Shadow Garchomp,239,261,193,,
Munchlax,286,137,117,Normal,
Riolu,120,127,78,Fighting,
Lucario,172,236,144,Fighting,Steel
Shadow Lucario,172,236,144,,
Mega Lucario,172,310,175,Fighting,Steel
Mega Lucario Z,172,359,161,Fighting,Steel
Hippopotas,169,124,118,Ground,
Hippowdon,239,201,191,Ground,
Skorupi,120,93,151,Poison,Bug
Drapion,172,180,202,Poison,Dark
Croagunk,134,116,76,Poison,Fighting
Toxicroak,195,211,133,Poison,Fighting
Carnivine,179,187,136,Grass,
Finneon,135,96,116,Water,
Lumineon,170,142,170,Water,
Mantyke,128,105,179,Water,Flying
Snover,155,115,105,Grass,Ice
Abomasnow,207,178,158,Grass,Ice
Mega Abomasnow,207,240,191,Grass,Ice
Weavile,172,243,171,Dark,Ice
Magnezone,172,238,205,Electric,Steel
Lickilicky,242,161,181,Normal,
Rhyperior,251,241,190,Ground,Rock
Shadow Rhyperior,251,241,190,,
Tangrowth,225,207,184,Grass,
Electivire,181,249,163,Electric,
Magmortar,181,247,172,Fire,
Togekiss,198,225,217,Fairy,Flying
Yanmega,200,231,156,Bug,Flying
Leafeon,163,216,219,Grass,
Glaceon,163,238,205,Ice,
Gliscor,181,185,222,Ground,Flying
Mamoswine,242,247,146,Ice,Ground
Shadow Mamoswine,242,247,146,,
Porygon-Z,198,264,150,Normal,
Gallade,169,237,195,Psychic,Fighting
Mega Gallade,169,326,230,Psychic,Fighting
Probopass,155,135,275,Rock,Steel
Dusknoir,128,180,254,Ghost,
Froslass,172,171,150,Ice,Ghost
Mega Froslass,172,289,194,Ice,Ghost
Rotom,137,185,159,Electric,Ghost
Rotom Wash,137,204,219,,
Rotom Frost,137,204,219,,
Rotom Fan,137,204,219,,
Rotom Mow,137,204,219,,
Rotom Heat,137,204,219,,
Uxie,181,156,270,Psychic,
Mesprit,190,212,212,Psychic,
Azelf,181,270,151,Psychic,
Dialga,205,275,211,Steel,Dragon
Shadow Dialga,205,275,211,,
Dialga Origin,205,270,225,Steel,Dragon
Palkia,189,280,215,Water,Dragon
Shadow Palkia,189,280,215,,
Palkia Origin,189,286,223,Water,Dragon
Heatran,209,251,213,Fire,Steel
Mega Heatran,209,331,252,Fire,Steel
Regigigas,221,287,210,Normal,
Shadow Regigigas,221,287,210,,
Giratina Altered,284,187,225,Ghost,Dragon
Giratina Origin,284,225,187,Ghost,Dragon
Cresselia,260,152,258,Psychic,
Phione,190,162,162,Water,
Manaphy,225,210,210,Water,
Darkrai,172,285,198,Dark,
Mega Darkrai,172,325,265,Dark,
Shadow Darkrai,172,285,198,,
Shaymin,225,210,210,Grass,
Shaymin Sky,225,261,166,,
Arceus,237,238,238,Normal,
Victini,225,210,210,Psychic,Fire
Snivy,128,88,107,Grass,
Servine,155,122,152,Grass,
Serperior,181,161,204,Grass,
Tepig,163,115,85,Fire,
Pignite,207,173,106,Fire,Fighting
Emboar,242,235,127,Fire,Fighting
Mega Emboar,242,287,194,Fire,Fighting
Oshawott,146,117,85,Water,
Dewott,181,159,116,Water,
Samurott,216,212,157,Water,
Hisuian Samurott,207,218,152,,
Patrat,128,98,73,Normal,
Watchog,155,165,139,Normal,
Lillipup,128,107,86,Normal,
Herdier,163,145,126,Normal,
Stoutland,198,206,182,Normal,
Purrloin,121,98,73,Dark,
Liepard,162,187,106,Dark,
Pansage,137,104,94,Grass,
Simisage,181,206,133,Grass,
Pansear,137,104,94,Fire,
Simisear,181,206,133,Fire,
Panpour,137,104,94,Water,
Simipour,181,206,133,Water,
Munna,183,111,92,Psychic,
Musharna,253,183,166,Psychic,
Pidove,137,98,80,Normal,Flying
Tranquill,158,144,107,Normal,Flying
Unfezant,190,226,146,Normal,Flying
Blitzle,128,118,64,Electric,
Zebstrika,181,211,136,Electric,
Roggenrola,146,121,110,Rock,
Boldore,172,174,143,Rock,
Gigalith,198,226,201,Rock,
Shadow Gigalith,198,226,201,,
Woobat,163,107,85,Psychic,Flying
Swoobat,167,161,119,Psychic,Flying
Drilbur,155,154,85,Ground,
Excadrill,242,255,129,Ground,Steel
Shadow Excadrill,242,255,129,,
Mega Excadrill,242,322,184,Ground,Steel
Audino,230,114,163,Normal,
Mega Audino,230,147,239,Normal,Fairy
Timburr,181,134,87,Fighting,
Gurdurr,198,180,134,Fighting,
Conkeldurr,233,243,158,Fighting,
Shadow Conkeldurr,233,243,158,,
Tympole,137,98,78,Water,
Palpitoad,181,128,109,Water,Ground
Seismitoad,233,188,150,Water,Ground
Throh,260,172,160,Fighting,
Sawk,181,231,153,Fighting,
Sewaddle,128,96,124,Bug,Grass
Swadloon,146,115,162,Bug,Grass
Leavanny,181,205,165,Bug,Grass
Venipede,102,83,99,Bug,Poison
Whirlipede,120,100,173,Bug,Poison
Scolipede,155,203,175,Bug,Poison
Mega Scolipede,155,257,254,Bug,Poison
Cottonee,120,71,111,Grass,Fairy
Whimsicott,155,164,176,Grass,Fairy
Petilil,128,119,91,Grass,
Lilligant,172,214,155,Grass,
Hisuian Lilligant,172,208,159,,
Basculin,172,189,129,Water,
Hisuian Basculin,172,189,129,,
Sandile,137,132,69,Ground,Dark
Krokorok,155,155,90,Ground,Dark
Krookodile,216,229,158,Ground,Dark
Darumaka,172,153,86,Fire,
Galarian Darumaka,172,153,86,,
Darmanitan,233,263,114,Fire,
Shadow Darmanitan,233,263,114,,
Darmanitan Zen,233,243,202,,
Galarian Darmanitan,233,263,114,,
Galarian Darmanitan Zen,233,323,123,,
Maractus,181,201,130,Grass,
Dwebble,137,118,128,Bug,Rock
Crustle,172,188,200,Bug,Rock
Scraggy,137,132,132,Dark,Fighting
Scrafty,163,163,222,Dark,Fighting
Mega Scrafty,163,238,266,Dark,Fighting
Sigilyph,176,204,167,Psychic,Flying
Yamask,116,95,141,Ghost,
Galarian Yamask,116,95,141,,
Cofagrigus,151,163,237,Ghost,
Tirtouga,144,134,146,Water,Rock
Carracosta,179,192,197,Water,Rock
Archen,146,213,89,Rock,Flying
Archeops,181,292,139,Rock,Flying
Trubbish,137,96,122,Poison,
Garbodor,190,181,164,Poison,
Zorua,120,153,78,Dark,
Hisuian Zorua,111,162,79,,
Zoroark,155,250,127,Dark,
Hisuian Zorark,146,261,128,,
Minccino,146,98,80,Normal,
Cinccino,181,198,130,Normal,
Gothita,128,98,112,Psychic,
Gothorita,155,137,153,Psychic,
Gothitelle,172,176,205,Psychic,
Solosis,128,170,83,Psychic,
Duosion,163,208,103,Psychic,
Reuniclus,242,214,148,Psychic,
Ducklett,158,84,96,Water,Flying
Swanna,181,182,132,Water,Flying
Vanillite,113,118,106,Ice,
Vanillish,139,151,138,Ice,
Vanilluxe,174,218,184,Ice,
Deerling,155,115,100,Normal,Grass
Sawsbuck,190,198,146,Normal,Grass
Emolga,146,158,127,Electric,Flying
Karrablast,137,137,87,Bug,
